Kvartal;KPI ;Om 2 år;Om 5 år;Inflasjonsmål
31.03.2002;1;3.03;2.6;2.5
30.06.2002;0.55;3.05;2.65;2.5
30.09.2002;1.4;3.15;2.55;2.5
31.12.2002;2.15;3.1;2.45;2.5
31.03.2003;4.65;3.1;2.45;2.5
30.06.2003;2.33;2.93;2.5;2.5
30.09.2003;1.84;2.78;2.45;2.5
31.12.2003;1.11;2.88;2.5;2.5
31.03.2004;-1.28;2.6;2.45;2.5
30.06.2004;0.85;2.7;2.45;2.5
30.09.2004;1.13;2.63;2.55;2.5
31.12.2004;1.14;2.68;2.45;2.5
31.03.2005;1.16;2.6;2.35;2.5
30.06.2005;1.5;2.55;2.5;2.5
30.09.2005;1.72;2.63;2.35;2.5
31.12.2005;1.78;2.9;2.6;2.5
31.03.2006;2.35;2.7;2.45;2.5
30.06.2006;2.39;2.9;2.65;2.5
30.09.2006;2.2;2.97;2.5;2.5
31.12.2006;2.44;3.08;2.55;2.5
31.03.2007;0.99;3;2.5;2.5
30.06.2007;0.34;2.85;2.35;2.5
30.09.2007;0.15;3.1;2.45;2.5
31.12.2007;1.44;3.1;2.6;2.5
31.03.2008;3.43;3.47;2.6;2.5
30.06.2008;3.24;3.63;2.6;2.5
30.09.2008;4.7;3.47;2.65;2.5
31.12.2008;3.66;3.6;2.8;2.5
31.03.2009;2.37;3.23;2.7;2.5
30.06.2009;3.06;3.3;2.9;2.5
30.09.2009;1.86;3.43;2.9;2.5
31.12.2009;1.52;3.35;2.8;2.5
31.03.2010;2.89;3.33;2.85;2.5
30.06.2010;2.51;3.28;2.9;2.5
30.09.2010;1.92;3.18;2.75;2.5
31.12.2010;2.3;3.33;2.75;2.5
31.03.2011;1.39;3.53;2.85;2.5
30.06.2011;1.39;3.45;2.75;2.5
30.09.2011;1.52;3.2;2.75;2.5
31.12.2011;0.81;3.05;2.6;2.5
31.03.2012;0.86;3.05;2.55;2.5
30.06.2012;0.41;2.93;2.6;2.5
30.09.2012;0.31;2.83;2.5;2.5
31.12.2012;1.16;3.03;2.55;2.5
31.03.2013;1.33;2.98;2.4;2.5
30.06.2013;2;2.8;2.55;2.5
30.09.2013;2.89;2.95;2.6;2.5
31.12.2013;2.27;2.85;2.6;2.5
31.03.2014;2.18;3.05;2.55;2.5
30.06.2014;1.93;3.1;2.45;2.5
30.09.2014;2.04;3.15;2.65;2.5
31.12.2014;2.02;2.88;2.4;2.5
31.03.2015;2.03;2.83;2.4;2.5
30.06.2015;2.26;2.6;2.35;2.5
30.09.2015;1.91;2.63;2.4;2.5
31.12.2015;2.5;2.63;2.4;2.5
31.03.2016;3.21;2.75;2.45;2.5
30.06.2016;3.51;2.7;2.45;2.5
30.09.2016;3.91;3.03;2.6;2.5
31.12.2016;3.56;2.97;2.75;2.5
31.03.2017;2.61;2.85;2.65;2.5
30.06.2017;2.14;2.9;2.5;2.5
30.09.2017;1.45;2.7;2.4;2.5
31.12.2017;1.34;2.68;2.45;2.5
31.03.2018;2.01;2.65;2.45;2.5
30.06.2018;2.45;2.68;2.5;2
30.09.2018;3.23;2.78;2.6;2
31.12.2018;3.37;2.8;2.5;2
31.03.2019;2.99;2.8;2.4;2
30.06.2019;2.47;2.85;2.5;2
30.09.2019;1.62;2.7;2.45;2
31.12.2019;1.61;2.63;2.35;2
31.03.2020;1.16;2.68;2.15;2
30.06.2020;1.16;2.78;2.25;2
30.09.2020;1.54;2.85;2.3;2
31.12.2020;1.29;2.78;2.3;2
31.03.2021;3;2.93;2.3;2
30.06.2021;2.79;3.08;2.35;2
30.09.2021;3.49;3.08;2.45;2
31.12.2021;4.64;3.33;2.35;2
31.03.2022;3.88;3.58;2.55;2
30.06.2022;5.73;4;2.6;2
30.09.2022;6.78;4.1;2.8;2
31.12.2022;6.64;4.22;3;2
31.03.2023;6.66;4.72;2.9;2
30.06.2023;6.38;4.38;2.75;2
30.09.2023;4.59;4.47;2.8;2
31.12.2023;4.54;3.98;2.8;2
31.03.2024;4.37;3.95;2.9;2
30.06.2024;3.02;3.88;2.6;2
30.09.2024;2.84;3.68;2.55;2
31.12.2024;;3.45;2.6;2
