month,net_export,nx_gap_pct
2016-01-01,126539,2.5048426658096967
2016-02-01,120266,-2.535520478256789
2016-03-01,122157,-0.9613533731414676
2016-04-01,123491,0.16219028130400495
2016-05-01,119723,-2.853336166259149
2016-06-01,121882,-1.0600823822594065
2016-07-01,122609,-0.42805650099717857
2016-08-01,113525,-7.765960819701673
2016-09-01,118696,-3.522759662382597
2016-10-01,126198,2.6214700276976868
2016-11-01,125338,1.971397880875314
2016-12-01,131312,6.887511494528155
2017-01-01,120605,-1.7719545510868204
2017-02-01,125512,2.2881512377764075
2017-03-01,129071,5.259907673676823
2017-04-01,129681,5.835323460138495
2017-05-01,120025,-1.967164373373759
2017-06-01,136199,11.33788768414769
2017-07-01,121027,-0.9754572605067414
2017-08-01,127157,4.138163466669804
2017-09-01,130176,6.714316344466203
2017-10-01,121394,-0.38645073353361664
2017-11-01,117474,-3.5078729334491747
2017-12-01,122915,1.0591692246535858
2018-01-01,122275,0.6269527401469944
2018-02-01,123103,1.3979473130462827
2018-03-01,117753,-2.9295135105863244
2018-04-01,118209,-2.4822646772498502
2018-05-01,113930,-5.952918145617599
2018-06-01,124671,2.966770294828367
2018-07-01,118223,-2.3203640602344002
2018-08-01,127180,5.107116861023186
2018-09-01,118974,-1.6638919979501594
2018-10-01,125613,3.818235766216077
2018-11-01,114435,-5.441391165415938
2018-12-01,114960,-5.046579278085251
2019-01-01,123849,2.233142237701269
2019-02-01,119703,-1.2697987278345781
2019-03-01,117626,-3.0828400286871753
2019-04-01,119299,-1.8275343862291478
2019-05-01,118858,-2.335293718351481
2019-06-01,116842,-4.156298521303649
2019-07-01,114152,-6.545215280419371
2019-08-01,108602,-11.282832010089697
2019-09-01,116759,-4.849112702018151
2019-10-01,114387,-7.0266675084385835
2019-11-01,128259,3.9543665495809392
2019-12-01,125406,1.3373714034892983
2020-01-01,124183,0.032538460724423936
2020-02-01,124973,0.337252630317248
2020-03-01,138793,11.052172759840941
2020-04-01,129278,3.0745919272360616
2020-05-01,123072,-2.2286125532425967
2020-06-01,120760,-4.421061358789751
2020-07-01,125791,-0.8163734386352051
2020-08-01,113720,-10.68009081381798
2020-09-01,117699,-7.916879098179621
2020-10-01,121632,-5.216219663463761
2020-11-01,119030,-7.612094838860928
2020-12-01,139136,7.566290830173803
2021-01-01,141666,9.093726700533923
2021-02-01,135568,3.9967534142770504
2021-03-01,139365,6.508519849204767
2021-04-01,147895,12.615726582972014
2021-05-01,141666,7.492517870224219
2021-06-01,143288,8.353518490564356
2021-07-01,130478,-1.656924998224406
2021-08-01,125492,-5.714433484625891
2021-09-01,140809,5.469987270080156
2021-10-01,138705,3.587063647003548
2021-11-01,129952,-3.226978325812653
2021-12-01,143727,6.735028618824796
2022-01-01,128722,-4.664340139598933
2022-02-01,135144,-0.1689944187129746
2022-03-01,139511,2.795033284653975
2022-04-01,126208,-7.237720307133567
2022-05-01,140630,3.111075467428945
2022-06-01,132512,-3.072803301515334
2022-07-01,138176,0.8332743039292697
2022-08-01,143157,4.227116184556821
2022-09-01,155842,13.204508383280412
2022-10-01,129612,-6.06086113279489
2022-11-01,128547,-7.041420549234708
2022-12-01,129788,-6.354462765929807
2023-01-01,134017,-3.520892413837866
2023-02-01,134646,-3.287539954779414
2023-03-01,141170,1.167661984722291
2023-04-01,142433,1.8394290209741226
2023-05-01,129096,-7.908301704717915
2023-06-01,122888,-12.538701811017097
2023-07-01,148563,5.490819990369955
2023-08-01,144558,2.4114921468511925
2023-09-01,125489,-11.299873924109187
2023-10-01,145433,2.5667802036193463
2023-11-01,145528,2.4084354443193536
2023-12-01,146699,3.012090109477791
2024-01-01,149117,4.494156432101072
2024-02-01,137952,-3.520933840061401
2024-03-01,152776,6.644889833080628
2024-04-01,155950,8.666050455770716
2024-05-01,155998,8.516818731594324
2024-06-01,158968,10.408559740489522
2024-07-01,147556,2.331049215117314
2024-08-01,141105,-2.279225695708871
2024-09-01,140600,-2.7580984121704697
2024-10-01,141249,-2.433483437741459
2024-11-01,144573,-0.26021511806029235
2024-12-01,141367,-2.58872566223943
2025-01-01,143155,-1.4724920936325536
2025-02-01,144199,-0.8690253077042849
2025-03-01,132376,-9.101679002989663
