month,gov_demand,g_gap_pct
2016-01-01,78273,-0.7808838347579845
2016-02-01,78302,-0.8657062290712078
2016-03-01,78422,-0.8351977783442536
2016-04-01,78761,-0.5280089402436091
2016-05-01,78798,-0.6021803219151944
2016-06-01,79131,-0.30269719415014046
2016-07-01,79443,-0.029566822441946073
2016-08-01,79689,0.16102231656392846
2016-09-01,80279,0.7843672296055572
2016-10-01,79901,0.19402086887305087
2016-11-01,80122,0.35710760349933496
2016-12-01,80038,0.14022085943304533
2017-01-01,79735,-0.34773521762031123
2017-02-01,80233,0.16767889615486628
2017-03-01,80313,0.16318662873044823
2017-04-01,80528,0.3295591760501065
2017-05-01,80784,0.5494509035087232
2017-06-01,80939,0.6462839606136219
2017-07-01,80727,0.2900547149179204
2017-08-01,81144,0.7182994573825645
2017-09-01,81073,0.5437332661504272
2017-10-01,81171,0.581986909762223
2017-11-01,81414,0.802764316698956
2017-12-01,81102,0.3395116466159626
2018-01-01,81083,0.24198169158014382
2018-02-01,81257,0.3856403819244381
2018-03-01,81233,0.2870781119458332
2018-04-01,81219,0.20318621113751165
2018-05-01,81251,0.1780775292436591
2018-06-01,81085,-0.08926575231742193
2018-07-01,81198,-0.011278028828640702
2018-08-01,81067,-0.23249421501440815
2018-09-01,81104,-0.2458982919503035
2018-10-01,81546,0.239229638265966
2018-11-01,81409,0.012933286995942409
2018-12-01,81487,0.051092159500335285
2019-01-01,81835,0.42049917209731696
2019-02-01,81880,0.41760805195597595
2019-03-01,82062,0.5820921369385351
2019-04-01,81851,0.26412289928019167
2019-05-01,82009,0.3970796239924234
2019-06-01,82215,0.5870466237017532
2019-07-01,82241,0.5547466592235094
2019-08-01,82229,0.4736833024946624
2019-09-01,82193,0.3605854888931209
2019-10-01,82127,0.20770813009048888
2019-11-01,82625,0.7388513868869614
2019-12-01,82604,0.6324835991580472
2020-01-01,83954,2.1901007358798013
2020-02-01,83617,1.6876895538415062
2020-03-01,80360,-2.367862282232239
2020-04-01,77386,-6.078887683979105
2020-05-01,78328,-5.041986654927963
2020-06-01,80344,-2.714896694149714
2020-07-01,81693,-1.2081988576279976
2020-08-01,82562,-0.2930581267674982
2020-09-01,82628,-0.35649009062110537
2020-10-01,82669,-0.45715060872933433
2020-11-01,83231,0.06191330866455912
2020-12-01,83982,0.7995788100697149
2021-01-01,83046,-0.4928402959058901
2021-02-01,83098,-0.6048670662709508
2021-03-01,83005,-0.8950726840475296
2021-04-01,83328,-0.693480694241028
2021-05-01,84213,0.1712801483165975
2021-06-01,85134,1.0713785302400416
2021-07-01,85266,1.0294822766040426
2021-08-01,85760,1.4126246960822673
2021-09-01,86356,1.9117564625551584
2021-10-01,85737,0.9753158544111444
2021-11-01,85741,0.7724600584617466
2021-12-01,85398,0.16105053686093146
2022-01-01,84974,-0.5450059699389311
2022-02-01,85540,-0.09421611460108363
2022-03-01,85581,-0.25957059810415484
2022-04-01,85881,-0.1253490404294082
2022-05-01,85801,-0.43495293936172463
2022-06-01,85909,-0.5277490905658384
2022-07-01,86009,-0.6315120359457119
2022-08-01,86251,-0.5731294529753076
2022-09-01,86865,-0.08897648112105142
2022-10-01,87413,0.3156267627643032
2022-11-01,87136,-0.22766459761588662
2022-12-01,87144,-0.44415270648982647
2023-01-01,87867,0.1542900340044841
2023-02-01,87834,-0.11054751805817116
2023-03-01,88094,-0.042307173346015796
2023-04-01,88121,-0.23850805806794387
2023-05-01,88783,0.2833103264117976
2023-06-01,89357,0.7037204173975942
2023-07-01,89226,0.3298538660648713
2023-08-01,89563,0.4832524858748766
2023-09-01,89908,0.6456020103166649
2023-10-01,89781,0.2808309240970683
2023-11-01,90028,0.3353586594801742
2023-12-01,90679,0.839840797372747
2024-01-01,90332,0.23566737459312317
2024-02-01,90713,0.4411041759791268
2024-03-01,90581,0.07974377040028895
2024-04-01,90607,-0.10507215238363916
2024-05-01,90892,-0.0034365749849065517
2024-06-01,91122,0.03803834112410256
2024-07-01,91169,-0.12056636527594262
2024-08-01,91694,0.24457087943529804
2024-09-01,91639,-0.02413937591405983
2024-10-01,91832,-0.021376700945938635
2024-11-01,92127,0.09247017045264658
2024-12-01,91956,-0.2992018870861456
2025-01-01,92150,-0.29422205444436755
2025-02-01,92142,-0.5073271035456521
2025-03-01,92701,-0.10857261634583656
