month,kpi,inflation_pct
2015-01-01,98.6,
2015-02-01,98.9,
2015-03-01,99.2,
2015-04-01,99.6,
2015-05-01,99.8,
2015-06-01,100.1,
2015-07-01,100.1,
2015-08-01,99.9,
2015-09-01,100.6,
2015-10-01,101.0,
2015-11-01,101.3,
2015-12-01,100.9,
2016-01-01,101.5,2.941176470588247
2016-02-01,102.1,3.2355915065722884
2016-03-01,102.5,3.3266129032258007
2016-04-01,102.9,3.3132530120482118
2016-05-01,103.2,3.4068136272545235
2016-06-01,103.8,3.6963036963036933
2016-07-01,104.5,4.395604395604402
2016-08-01,103.9,4.004004004004003
2016-09-01,104.2,3.5785288270377746
2016-10-01,104.7,3.6633663366336666
2016-11-01,104.9,3.553800592300105
2016-12-01,104.4,3.468780971258667
2017-01-01,104.3,2.758620689655178
2017-02-01,104.7,2.5465230166503483
2017-03-01,105.0,2.4390243902439046
2017-04-01,105.2,2.235179786200181
2017-05-01,105.4,2.131782945736438
2017-06-01,105.8,1.9267822736030782
2017-07-01,106.1,1.5311004784688942
2017-08-01,105.3,1.3474494706448459
2017-09-01,105.9,1.6314779270633517
2017-10-01,106.0,1.241642788920716
2017-11-01,106.1,1.143946615824576
2017-12-01,106.1,1.6283524904214364
2018-01-01,106.0,1.6299137104506256
2018-02-01,107.0,2.1967526265520565
2018-03-01,107.3,2.190476190476187
2018-04-01,107.7,2.3764258555132978
2018-05-01,107.8,2.2770398481973375
2018-06-01,108.5,2.5519848771266673
2018-07-01,109.3,3.016022620169645
2018-08-01,108.9,3.418803418803429
2018-09-01,109.5,3.399433427762033
2018-10-01,109.3,3.113207547169816
2018-11-01,109.8,3.4872761545711617
2018-12-01,109.8,3.4872761545711617
2019-01-01,109.3,3.113207547169816
2019-02-01,110.2,2.9906542056074903
2019-03-01,110.4,2.889095992544277
2019-04-01,110.8,2.878365831012064
2019-05-01,110.5,2.504638218923927
2019-06-01,110.6,1.9354838709677358
2019-07-01,111.4,1.921317474839901
2019-08-01,110.6,1.5610651974288237
2019-09-01,111.1,1.4611872146118587
2019-10-01,111.3,1.8298261665141702
2019-11-01,111.6,1.6393442622950838
2019-12-01,111.3,1.3661202185792254
2020-01-01,111.3,1.8298261665141702
2020-02-01,111.2,0.9074410163339319
2020-03-01,111.2,0.7246376811594235
2020-04-01,111.7,0.8122743682310585
2020-05-01,111.9,1.2669683257918507
2020-06-01,112.1,1.3562386980108476
2020-07-01,112.9,1.3464991023339312
2020-08-01,112.5,1.7179023508137492
2020-09-01,112.9,1.6201620162016317
2020-10-01,113.2,1.7070979335130243
2020-11-01,112.4,0.7168458781362075
2020-12-01,112.9,1.4375561545372895
2021-01-01,114.1,2.515723270440251
2021-02-01,114.9,3.3273381294964155
2021-03-01,114.6,3.0575539568345356
2021-04-01,115.0,2.9543419874664245
2021-05-01,114.9,2.680965147453085
2021-06-01,115.3,2.8545941123996554
2021-07-01,116.3,3.011514614703259
2021-08-01,116.3,3.3777777777777684
2021-09-01,117.5,4.074402125775012
2021-10-01,117.2,3.5335689045936425
2021-11-01,118.1,5.071174377224197
2021-12-01,118.9,5.31443755535872
2022-01-01,117.8,3.242769500438225
2022-02-01,119.1,3.6553524804177506
2022-03-01,119.8,4.537521815008727
2022-04-01,121.2,5.391304347826087
2022-05-01,121.5,5.7441253263707415
2022-06-01,122.6,6.3313096270598335
2022-07-01,124.2,6.792777300085984
2022-08-01,123.9,6.53482373172829
2022-09-01,125.6,6.893617021276599
2022-10-01,126.0,7.508532423208192
2022-11-01,125.8,6.519898391193912
2022-12-01,125.9,5.887300252312877
2023-01-01,126.1,7.045840407470294
2023-02-01,126.6,6.297229219143574
2023-03-01,127.6,6.510851419031716
2023-04-01,129.0,6.435643564356441
2023-05-01,129.6,6.666666666666665
2023-06-01,130.4,6.362153344208821
2023-07-01,130.9,5.394524959742353
2023-08-01,129.9,4.842615012106544
2023-09-01,129.8,3.343949044585992
2023-10-01,131.1,4.047619047619033
2023-11-01,131.8,4.769475357710662
2023-12-01,131.9,4.765687053216849
2024-01-01,132.0,4.67882632831087
2024-02-01,132.3,4.502369668246464
2024-03-01,132.6,3.9184952978056353
2024-04-01,133.7,3.6434108527131803
2024-05-01,133.5,3.009259259259256
2024-06-01,133.8,2.60736196319018
2024-07-01,134.5,2.7501909854851014
2024-08-01,133.3,2.617397998460369
2024-09-01,133.7,3.0046224961479018
2024-10-01,134.5,2.593440122044255
2024-11-01,134.9,2.3520485584218376
2024-12-01,134.8,2.1986353297952954
2025-01-01,135.1,2.348484848484844
2025-02-01,137.0,3.5525321239606944
2025-03-01,136.1,2.639517345399689
2025-04-01,137.0,2.4682124158563967
