date,policy_rate,exp_inflation,r_real,r_gap
2016-01-31,0.75,2.67,-1.92,-2.92
2016-02-29,0.75,2.71,-1.96,-2.96
2016-03-31,0.6625,2.75,-2.0875,-3.0875
2016-04-30,0.5,2.7333333333333334,-2.2333333333333334,-3.2333333333333334
2016-05-31,0.5,2.716666666666667,-2.216666666666667,-3.216666666666667
2016-06-30,0.5,2.7,-2.2,-3.2
2016-07-31,0.5,2.81,-2.31,-3.31
2016-08-31,0.5,2.92,-2.42,-3.42
2016-09-30,0.5,3.03,-2.53,-3.53
2016-10-31,0.5,3.01,-2.51,-3.51
2016-11-30,0.5,2.99,-2.49,-3.49
2016-12-31,0.5,2.97,-2.47,-3.47
2017-01-31,0.5,2.93,-2.43,-3.43
2017-02-28,0.5,2.89,-2.39,-3.39
2017-03-31,0.5,2.85,-2.35,-3.35
2017-04-30,0.5,2.8666666666666667,-2.3666666666666667,-3.3666666666666667
2017-05-31,0.5,2.8833333333333333,-2.3833333333333333,-3.3833333333333333
2017-06-30,0.5,2.9,-2.4,-3.4
2017-07-31,0.5,2.833333333333333,-2.333333333333333,-3.333333333333333
2017-08-31,0.5,2.7666666666666666,-2.2666666666666666,-3.2666666666666666
2017-09-30,0.5,2.7,-2.2,-3.2
2017-10-31,0.5,2.6933333333333334,-2.1933333333333334,-3.1933333333333334
2017-11-30,0.5,2.686666666666667,-2.186666666666667,-3.186666666666667
2017-12-31,0.5,2.68,-2.18,-3.18
2018-01-31,0.5,2.67,-2.17,-3.17
2018-02-28,0.5,2.66,-2.16,-3.16
2018-03-31,0.5,2.65,-2.15,-3.15
2018-04-30,0.5,2.66,-2.16,-3.16
2018-05-31,0.5,2.67,-2.17,-3.17
2018-06-30,0.5,2.68,-2.18,-3.18
2018-07-31,0.5,2.7133333333333334,-2.2133333333333334,-3.2133333333333334
2018-08-31,0.5,2.7466666666666666,-2.2466666666666666,-3.2466666666666666
2018-09-30,0.575,2.78,-2.205,-3.205
2018-10-31,0.75,2.786666666666666,-2.036666666666666,-3.036666666666666
2018-11-30,0.75,2.793333333333333,-2.043333333333333,-3.043333333333333
2018-12-31,0.75,2.8,-2.05,-3.05
2019-01-31,0.75,2.8,-2.05,-3.05
2019-02-28,0.75,2.8,-2.05,-3.05
2019-03-31,0.8214285714285714,2.8,-1.9785714285714284,-2.9785714285714286
2019-04-30,1.0,2.8166666666666664,-1.8166666666666664,-2.8166666666666664
2019-05-31,1.0,2.833333333333333,-1.833333333333333,-2.833333333333333
2019-06-30,1.0789473684210529,2.85,-1.7710526315789472,-2.7710526315789474
2019-07-31,1.25,2.8000000000000003,-1.5500000000000003,-2.5500000000000003
2019-08-31,1.25,2.75,-1.5,-2.5
2019-09-30,1.3333333333333333,2.7,-1.366666666666667,-2.366666666666667
2019-10-31,1.5,2.6766666666666667,-1.1766666666666667,-2.1766666666666667
2019-11-30,1.5,2.6533333333333333,-1.1533333333333333,-2.1533333333333333
2019-12-31,1.5,2.63,-1.13,-2.13
2020-01-31,1.5,2.6466666666666665,-1.1466666666666665,-2.1466666666666665
2020-02-29,1.5,2.6633333333333336,-1.1633333333333336,-2.1633333333333336
2020-03-31,0.9886363636363636,2.68,-1.6913636363636364,-2.6913636363636364
2020-04-30,0.25,2.7133333333333334,-2.4633333333333334,-3.4633333333333334
2020-05-31,0.0526315789473684,2.7466666666666666,-2.694035087719298,-3.694035087719298
2020-06-30,0.0,2.78,-2.78,-3.78
2020-07-31,0.0,2.803333333333333,-2.803333333333333,-3.803333333333333
2020-08-31,0.0,2.8266666666666667,-2.8266666666666667,-3.8266666666666667
2020-09-30,0.0,2.85,-2.85,-3.85
2020-10-31,0.0,2.8266666666666667,-2.8266666666666667,-3.8266666666666667
2020-11-30,0.0,2.803333333333333,-2.803333333333333,-3.803333333333333
2020-12-31,0.0,2.78,-2.78,-3.78
2021-01-31,0.0,2.83,-2.83,-3.83
2021-02-28,0.0,2.88,-2.88,-3.88
2021-03-31,0.0,2.93,-2.93,-3.93
2021-04-30,0.0,2.98,-2.98,-3.98
2021-05-31,0.0,3.03,-3.03,-4.029999999999999
2021-06-30,0.0,3.08,-3.08,-4.08
2021-07-31,0.0,3.08,-3.08,-4.08
2021-08-31,0.0,3.08,-3.08,-4.08
2021-09-30,0.0568181818181818,3.08,-3.0231818181818184,-4.023181818181818
2021-10-31,0.25,3.1633333333333336,-2.9133333333333336,-3.9133333333333336
2021-11-30,0.25,3.2466666666666666,-2.9966666666666666,-3.9966666666666666
2021-12-31,0.3636363636363636,3.33,-2.9663636363636363,-3.9663636363636363
2022-01-31,0.5,3.4133333333333336,-2.9133333333333336,-3.9133333333333336
2022-02-28,0.5,3.4966666666666666,-2.9966666666666666,-3.9966666666666666
2022-03-31,0.5543478260869565,3.58,-3.0256521739130435,-4.025652173913043
2022-04-30,0.75,3.72,-2.97,-3.97
2022-05-31,0.75,3.86,-3.11,-4.109999999999999
2022-06-30,0.8690476190476191,4.0,-3.130952380952381,-4.130952380952381
2022-07-31,1.25,4.033333333333333,-2.783333333333333,-3.783333333333333
2022-08-31,1.4456521739130437,4.066666666666666,-2.6210144927536225,-3.6210144927536225
2022-09-30,1.8863636363636365,4.1,-2.213636363636363,-3.213636363636363
2022-10-31,2.25,4.14,-1.8899999999999997,-2.8899999999999997
2022-11-30,2.465909090909091,4.18,-1.7140909090909089,-2.714090909090909
2022-12-31,2.619047619047619,4.22,-1.6009523809523807,-2.6009523809523807
2023-01-31,2.75,4.386666666666667,-1.6366666666666667,-2.6366666666666667
2023-02-28,2.75,4.553333333333333,-1.8033333333333328,-2.803333333333333
2023-03-31,2.815217391304348,4.72,-1.9047826086956516,-2.9047826086956516
2023-04-30,3.0,4.6066666666666665,-1.6066666666666665,-2.6066666666666665
2023-05-31,3.210526315789474,4.493333333333333,-1.2828070175438593,-2.2828070175438593
2023-06-30,3.386363636363636,4.38,-0.9936363636363641,-1.993636363636364
2023-07-31,3.75,4.41,-0.6600000000000001,-1.6600000000000001
2023-08-31,3.858695652173913,4.44,-0.5813043478260873,-1.5813043478260873
2023-09-30,4.071428571428571,4.47,-0.3985714285714286,-1.3985714285714286
2023-10-31,4.25,4.306666666666667,-0.05666666666666664,-1.0566666666666666
2023-11-30,4.25,4.1433333333333335,0.10666666666666647,-0.8933333333333335
2023-12-31,4.368421052631579,3.98,0.3884210526315788,-0.6115789473684212
2024-01-31,4.5,3.97,0.5299999999999998,-0.4700000000000002
2024-02-29,4.5,3.96,0.54,-0.45999999999999996
2024-03-31,4.5,3.95,0.5499999999999998,-0.4500000000000002
2024-04-30,4.5,3.9266666666666654,0.5733333333333346,-0.4266666666666654
2024-05-31,4.5,3.903333333333333,0.5966666666666671,-0.4033333333333329
2024-06-30,4.5,3.88,0.6200000000000001,-0.3799999999999999
2024-07-31,4.5,3.8133333333333335,0.6866666666666665,-0.31333333333333346
2024-08-31,4.5,3.7466666666666666,0.7533333333333334,-0.2466666666666666
2024-09-30,4.5,3.68,0.8199999999999998,-0.18000000000000016
2024-10-31,4.5,3.6033333333333335,0.8966666666666665,-0.1033333333333335
2024-11-30,4.5,3.526666666666667,0.9733333333333332,-0.02666666666666684
2024-12-31,4.5,3.45,1.0499999999999998,0.04999999999999982
