date,r,r_fitted
2016-02-29,-2.96,-3.144881252781237
2016-03-31,-3.0875,-3.0778817621454073
2016-04-30,-3.2333333333333334,-3.0279693325912977
2016-05-31,-3.216666666666667,-2.898900015824853
2016-06-30,-3.2,-2.968790389368852
2016-07-31,-3.31,-2.7496918012224967
2016-08-31,-3.42,-2.8589693950343746
2016-09-30,-3.53,-2.736925599656304
2016-10-31,-3.51,-2.478751726050711
2016-11-30,-3.49,-2.8225335099425384
2016-12-31,-3.47,-2.641548722697512
2017-01-31,-3.43,-2.8137968706638676
2017-02-28,-3.39,-2.868885828285555
2017-03-31,-3.35,-2.7966901911715305
2017-04-30,-3.3666666666666667,-2.6284726208225533
2017-05-31,-3.3833333333333333,-2.886342629191524
2017-06-30,-3.4,-2.7463168587012285
2017-07-31,-3.333333333333333,-2.5009715687309475
2017-08-31,-3.2666666666666666,-2.837179746793309
2017-09-30,-3.2,-2.6746308670120214
2017-10-31,-3.1933333333333334,-2.8511404654000883
2017-11-30,-3.186666666666667,-2.8031734724893393
2017-12-31,-3.18,-2.6330300026094506
2018-01-31,-3.17,-2.8578740780166014
2018-02-28,-3.16,-2.892551588603896
2018-03-31,-3.15,-2.9038210298425766
2018-04-30,-3.16,-2.937644276497605
2018-05-31,-3.17,-2.8532802343863555
2018-06-30,-3.18,-2.783055764402326
2018-07-31,-3.2133333333333334,-2.952892841214827
2018-08-31,-3.2466666666666666,-2.942639329587132
2018-09-30,-3.205,-2.9527401409902896
2018-10-31,-3.036666666666666,-2.9041648565229097
2018-11-30,-3.043333333333333,-2.799269592751127
2018-12-31,-3.05,-2.89491704614466
2019-01-31,-3.05,-2.9193553468606486
2019-02-28,-3.05,-2.685083678668093
2019-03-31,-2.9785714285714286,-2.8178213188574452
2019-04-30,-2.8166666666666664,-2.711846523668177
2019-05-31,-2.833333333333333,-2.6856782651347753
2019-06-30,-2.7710526315789474,-2.5190768221913573
2019-07-31,-2.5500000000000003,-2.743293741924413
2019-08-31,-2.5,-2.665353395155567
2019-09-30,-2.366666666666667,-2.6688958007051657
2019-10-31,-2.1766666666666667,-2.6321255660678267
2019-11-30,-2.1533333333333333,-2.540049602954573
2019-12-31,-2.13,-2.6051923697291364
2020-01-31,-2.1466666666666665,-2.6645444541866534
2020-02-29,-2.1633333333333336,-2.3938760743110743
2020-03-31,-2.6913636363636364,-2.3442222523141676
2020-04-30,-3.4633333333333334,-3.2535168041629907
2020-05-31,-3.694035087719298,-4.047932914191146
2020-06-30,-3.78,-3.8468631436586778
2020-07-31,-3.803333333333333,-3.3977287491211743
2020-08-31,-3.826666666666666,-3.180690585072101
2020-09-30,-3.85,-2.959097768320094
2020-10-31,-3.826666666666666,-3.0261567526657274
2020-11-30,-3.803333333333333,-3.012892964885561
2020-12-31,-3.78,-2.825464126346882
2021-01-31,-3.83,-2.6602539198942217
2021-02-28,-3.88,-2.932306877928532
2021-03-31,-3.93,-2.704875896950077
2021-04-30,-3.98,-2.8570668612571426
2021-05-31,-4.029999999999999,-2.8064486403683344
2021-06-30,-4.08,-2.8208476277843353
2021-07-31,-4.08,-2.606412894666807
2021-08-31,-4.08,-2.747698707436964
2021-09-30,-4.023181818181818,-2.5870179084415885
2021-10-31,-3.9133333333333336,-2.558448680620793
2021-11-30,-3.9966666666666666,-2.6900788496648356
2021-12-31,-3.966363636363636,-2.616080540287196
2022-01-31,-3.9133333333333336,-2.7619560585996084
2022-02-28,-3.9966666666666666,-2.8244903780728507
2022-03-31,-4.025652173913043,-2.890819228991154
2022-04-30,-3.97,-2.864658948343067
2022-05-31,-4.109999999999999,-2.9200858705822963
2022-06-30,-4.130952380952381,-2.899505394171627
2022-07-31,-3.783333333333333,-3.0052507978037353
2022-08-31,-3.621014492753624,-3.0494997001406046
2022-09-30,-3.213636363636363,-2.8074699380566868
2022-10-31,-2.89,-2.8277613199487033
2022-11-30,-2.714090909090909,-2.8357657724344323
2022-12-31,-2.6009523809523807,-2.967320302487959
2023-01-31,-2.6366666666666667,-3.0942957295390197
2023-02-28,-2.803333333333333,-2.7382104067436495
2023-03-31,-2.904782608695652,-2.92663150057287
2023-04-30,-2.6066666666666665,-2.7475324494565103
2023-05-31,-2.28280701754386,-2.9953995465129997
2023-06-30,-1.993636363636364,-2.7971291688450672
2023-07-31,-1.66,-2.7323468188138667
2023-08-31,-1.5813043478260873,-2.8048021614625065
2023-09-30,-1.3985714285714286,-2.749252515304574
2023-10-31,-1.0566666666666666,-2.8020067674482947
2023-11-30,-0.8933333333333335,-2.6960994661155606
2023-12-31,-0.6115789473684212,-2.6660378813314605
2024-01-31,-0.4700000000000002,-2.526262561148914
2024-02-29,-0.4599999999999999,-2.7695828366171518
2024-03-31,-0.4500000000000002,-2.763680662307908
2024-04-30,-0.4266666666666654,-3.0315461010661533
2024-05-31,-0.4033333333333329,-2.750773995568993
2024-06-30,-0.3799999999999999,-2.853583965753811
2024-07-31,-0.3133333333333334,-2.8836131418068747
2024-08-31,-0.2466666666666666,-2.8386274097366333
2024-09-30,-0.1800000000000001,-2.686458699948388
2024-10-31,-0.1033333333333335,-2.839286209533225
2024-11-30,-0.0266666666666668,-2.737945107887322
2024-12-31,0.0499999999999998,-2.7537370059630284
